meter_id,month,morning_off_median,evening_on_median,days_morning,days_evening
B-L-9,2026-04,06:15,19:30,30,30
B-L-9,2026-05,05:30,20:00,31,31
B-L-9,2026-06,05:15,20:15,30,30
B-L-12,2026-04,05:45,19:30,30,30
B-L-12,2026-05,05:15,20:00,31,31
B-L-12,2026-06,05:15,20:15,30,30
B-L-13,2026-04,06:00,19:30,30,30
B-L-13,2026-05,05:15,20:00,31,31
B-L-13,2026-06,05:15,20:15,30,30
B-L-14,2026-04,06:00,19:30,30,30
B-L-14,2026-05,05:30,20:00,31,31
B-L-14,2026-06,05:15,20:15,30,30
B-L-35,2026-04,06:15,19:30,30,30
B-L-35,2026-05,05:45,20:00,31,31
B-L-35,2026-06,05:30,20:30,30,30
