cabinet_uid,municipality_id,source_cabinet_key,cabinet_name,latitude,longitude,fixture_rows,lamp_count,rated_power_w,controller_type,controller_link_status,address,source_file
SY-CAB-02055eedd2,suyeong,KBS조명탑 (1),KBS조명탑 (1),35.14384946,129.1094638,1,5,2500.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-3abf274d0a,suyeong,감포로-1 (29),감포로-1 (29),35.16208585,129.1198246,29,29,4300.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-1cd2be8800,suyeong,과정로-1 (21),과정로-1 (21),35.17551096,129.10735685,22,22,2825.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-0cd2440ab1,suyeong,과정로-2 (17),과정로-2 (17),35.17509863,129.1076837,19,19,2225.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-2044ba36d4,suyeong,과정로41-1 (10),과정로41-1 (10),35.175215195,129.10506225,10,10,1000.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-9757f5ca46,suyeong,과정로55-1 (10),과정로55-1 (10),35.17611601,129.10475755,10,10,1000.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-89191950ab,suyeong,과정로67-1 (17),과정로67-1 (17),35.1774589,129.1031271,17,17,1700.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-69005e730c,suyeong,광남로-1 (21),광남로-1 (21),35.14631636,129.1114036,21,21,2835.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-987a63343c,suyeong,광남로-2 (21),광남로-2 (21),35.14695932,129.11212790000002,22,22,2915.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-082c6a7345,suyeong,광남로-3  (16),광남로-3  (16),35.151749249999995,129.11553095,32,32,2960.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-3e06f82a0e,suyeong,광남로-3-1  (11),광남로-3-1  (11),35.15702369,129.1195643,21,21,1985.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-aedca82d53,suyeong,광남로-4  (23),광남로-4  (23),35.15162373,129.1156882,41,42,4185.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-273bc4f898,suyeong,광남로-5 (11),광남로-5 (11),35.15694066,129.1197615,21,21,1985.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-4dd2e815cc,suyeong,광남로-6  (23),광남로-6  (23),35.15939236,129.12527310000002,36,36,3800.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-00bf3193df,suyeong,광남로-7  (15),광남로-7  (15),35.15911828,129.1252533,19,19,2240.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-b86f498cc3,suyeong,광남로48-1_불꽃놀이_2채널격등 (25),광남로48-1_불꽃놀이_2채널격등 (25),35.14642688,129.1133674,25,25,2670.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-8beb0740f3,suyeong,광서로-1  (10),광서로-1  (10),35.1643903,129.11216715,10,10,1000.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-0a08599e9b,suyeong,광서로10-1  (8),광서로10-1  (8),35.165493775,129.1138061,8,8,800.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-9475205fe5,suyeong,광서로16-1  (13),광서로16-1  (13),35.16450231,129.1129209,13,13,1300.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-9a4fcd9616,suyeong,광서로36-1  (14),광서로36-1  (14),35.16605579,129.1113274,14,14,1575.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-2b2fc4cd07,suyeong,광안도시숲 (08),광안도시숲 (08),35.162530875,129.10507919999998,8,8,210.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-646ea30325,suyeong,광안로-1 (9),광안로-1 (9),35.15585828,129.1158665,9,9,1650.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-85f9d54eaa,suyeong,광안로-2 (9),광안로-2 (9),35.15590533,129.1154946,13,13,1550.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-6aaa863ac5,suyeong,광안로35-1 (18),광안로35-1 (18),35.156806885,129.116694,18,18,1900.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-4ce73a3391,suyeong,광안로49-1 (14),광안로49-1 (14),35.157302205,129.1191614,14,14,1680.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-d6b5d53967,suyeong,광안해변공원_불꽃놀이 (10),광안해변공원_불꽃놀이 (10),35.155399105,129.1234783,10,10,900.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-0ff5c26f27,suyeong,광안해변로-1 (25),광안해변로-1 (25),35.13845252,129.1130311,25,26,3670.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-cfd6ffef71,suyeong,광안해변로-10 불꽃놀이 (13),광안해변로-10 불꽃놀이 (13),35.15356773,129.1186654,13,13,2550.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-588dd5beeb,suyeong,광안해변로-11_불꽃놀이_2채널격등 (13),광안해변로-11_불꽃놀이_2채널격등 (13),35.15489282,129.1203536,13,13,1700.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-be62abcbf5,suyeong,광안해변로-12_불꽃놀이 (11),광안해변로-12_불꽃놀이 (11),35.15514321,129.1218417,11,11,2200.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-aec1bf9469,suyeong,광안해변로-13  (9),광안해변로-13  (9),35.15601496,129.1244182,9,9,1350.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-e2da04e0e2,suyeong,광안해변로-14 (23),광안해변로-14 (23),35.1566973,129.1266834,33,33,4000.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-715b5f5216,suyeong,광안해변로-15  (25),광안해변로-15  (25),35.15638742,129.13232465,30,30,3985.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-50c52cc6c9,suyeong,광안해변로-16  (13),광안해변로-16  (13),35.15589813,129.132353,13,13,1950.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-36b981d3dc,suyeong,광안해변로-17  (20),광안해변로-17  (20),35.15773822,129.1331334,24,24,2735.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-63d66e1877,suyeong,광안해변로-18  (20),광안해변로-18  (20),35.15983943,129.13020004999998,30,42,3363.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-66c30ac282,suyeong,광안해변로-19 (19),광안해변로-19 (19),35.1590505,129.1305214,27,27,2955.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-f7cde5aa3d,suyeong,광안해변로-2 (11),광안해변로-2 (11),35.13785391,129.1133763,11,11,1320.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-502375414c,suyeong,광안해변로-21  (22),광안해변로-21  (22),35.16104239,129.1295748,27,28,3377.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-c3d2aa0721,suyeong,광안해변로-22  (14),광안해변로-22  (14),35.163805010000004,129.12809675,14,14,1680.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-84f0d25e33,suyeong,광안해변로-3 불꽃놀이 (22),광안해변로-3 불꽃놀이 (22),35.13941527,129.1152968,25,27,3890.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-56c8e0734a,suyeong,광안해변로-4(조도) (21),광안해변로-4(조도) (21),35.14301845,129.1151511,21,21,4200.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-a715479152,suyeong,광안해변로-5(조도) (23),광안해변로-5(조도) (23),35.142348580000004,129.11489435,44,44,5075.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
SY-CAB-a9d5cc164f,suyeong,광안해변로-6_불꽃놀이 (13),광안해변로-6_불꽃놀이 (13),35.14581215,129.11777734999998,14,14,2320.0,양방향식,asset_only,,부산광역시_수영구_가로등 현황_20260114.csv
