controller_uid,municipality_id,cabinet_uid,company_code,cabinet_code,cabinet_seq,operation_mode,switch_model,modem_type,modem_id,on_offset_min,off_offset_min,voltage_setting,sequential_control,forced_time,latitude,longitude,address,source_file,source_row
GN-CTL-9567827aee,gangneung,GN-CAB-9567827aee,KNI,YB,1,0,GMC-200,3,1,-15.0,10.0,220.0,1,100,37.7660943,128.9183928,강원특별자치도 강릉시 입암동 39-15,강원특별자치도 강릉시_분전함_20230820.csv,2
GN-CTL-db9e2d6e6a,gangneung,GN-CAB-db9e2d6e6a,KNM,YB,1,0,GMC-200,3,0,-15.0,5.0,220.0,0,60,37.7643206,128.8720296,강원특별자치도 강릉시 유천동 산17-5,강원특별자치도 강릉시_분전함_20230820.csv,3
GN-CTL-f51ac68b19,gangneung,GN-CAB-f51ac68b19,KNC,YB,1,0,GMC-200S,3,1,-20.0,5.0,220.0,1,60,37.7660943,128.9183928,강원특별자치도 강릉시 입암동 39-15,강원특별자치도 강릉시_분전함_20230820.csv,4
GN-CTL-9bec217cb1,gangneung,GN-CAB-9bec217cb1,KNI,YB,2,0,GMC-200,3,2,-15.0,10.0,220.0,1,60,37.7816049,128.9155538,강원특별자치도 강릉시 포남동 1224,강원특별자치도 강릉시_분전함_20230820.csv,5
GN-CTL-512af880fc,gangneung,GN-CAB-512af880fc,KNM,YB,2,0,GMC-200,3,0,-15.0,5.0,220.0,0,60,37.7609204,128.8700489,강원특별자치도 강릉시 유천동 778,강원특별자치도 강릉시_분전함_20230820.csv,6
GN-CTL-d9f45454b3,gangneung,GN-CAB-d9f45454b3,KNC,YB,2,0,GMC-200S,3,2,-20.0,5.0,220.0,1,30,37.7816049,128.9155538,강원특별자치도 강릉시 포남동 1224,강원특별자치도 강릉시_분전함_20230820.csv,7
GN-CTL-3cff071224,gangneung,GN-CAB-3cff071224,KNC,YB,3,0,GMC-200S,3,3,-20.0,5.0,220.0,1,5,37.752146,128.878618,강원특별자치도 강릉시 홍제동 264,강원특별자치도 강릉시_분전함_20230820.csv,8
GN-CTL-aed5234b00,gangneung,GN-CAB-aed5234b00,KNI,YB,3,0,GMC-200,3,3,-15.0,10.0,220.0,1,60,37.7522616,128.8785378,강원특별자치도 강릉시 홍제동 264,강원특별자치도 강릉시_분전함_20230820.csv,9
GN-CTL-b7788ec1f1,gangneung,GN-CAB-b7788ec1f1,KNM,YB,3,0,GMC-200,3,0,-15.0,5.0,220.0,0,40,37.7551326,128.8692661,강원특별자치도 강릉시 홍제동 677 옆공원,강원특별자치도 강릉시_분전함_20230820.csv,10
GN-CTL-eb9d6cdbd0,gangneung,GN-CAB-eb9d6cdbd0,KNI,YB,4,0,GMC-200,3,4,-15.0,10.0,220.0,1,10,37.7687966,128.8735351,강원특별자치도 강릉시 유천동 15-13,강원특별자치도 강릉시_분전함_20230820.csv,11
GN-CTL-fcdc205f52,gangneung,GN-CAB-fcdc205f52,KNM,YB,4,0,GMC-200,3,0,-15.0,5.0,220.0,0,90,37.7549853,128.8696956,강원특별자치도 강릉시 홍제동 677 건너공원,강원특별자치도 강릉시_분전함_20230820.csv,12
GN-CTL-8a6eba9340,gangneung,GN-CAB-8a6eba9340,KNC,YB,4,0,GMC-200S,3,4,-20.0,5.0,220.0,1,60,37.7687951,128.8734954,강원특별자치도 강릉시 유천동 43,강원특별자치도 강릉시_분전함_20230820.csv,13
GN-CTL-20eb89b717,gangneung,GN-CAB-20eb89b717,KNM,YB,5,0,GMC-200,3,0,-15.0,-10.0,220.0,0,60,37.7638335,128.8684487,강원특별자치도 강릉시 유천동 251 길건너공원,강원특별자치도 강릉시_분전함_20230820.csv,14
GN-CTL-295de8377b,gangneung,GN-CAB-295de8377b,KNI,YB,5,0,GMC-200,3,5,-15.0,10.0,220.0,1,100,37.7404649,128.9247017,강원특별자치도 강릉시 청량동 166-3,강원특별자치도 강릉시_분전함_20230820.csv,15
GN-CTL-17ea9add7f,gangneung,GN-CAB-17ea9add7f,KNC,YB,5,0,GMC-200S,3,5,-20.0,5.0,220.0,1,60,37.7403031,128.9262678,강원특별자치도 강릉시 청량동 147-1,강원특별자치도 강릉시_분전함_20230820.csv,16
GN-CTL-73a8514dd8,gangneung,GN-CAB-73a8514dd8,KNM,YB,6,0,GMC-200,3,0,-15.0,5.0,220.0,0,60,37.760616,128.8661185,강원특별자치도 강릉시 유천동 776-5,강원특별자치도 강릉시_분전함_20230820.csv,17
GN-CTL-2527a360eb,gangneung,GN-CAB-2527a360eb,KNI,YB,6,0,GMC-200,3,6,-15.0,10.0,220.0,1,100,37.7247062,128.8443392,강원특별자치도 강릉시 구정면 제비리 912,강원특별자치도 강릉시_분전함_20230820.csv,18
GN-CTL-2742b3b2b1,gangneung,GN-CAB-2742b3b2b1,KNC,YB,6,0,GMC-200S,3,6,-20.0,5.0,220.0,1,50,37.7247062,128.8443392,강원특별자치도 강릉시 구정면 제비리 912,강원특별자치도 강릉시_분전함_20230820.csv,19
