fixture_uid,municipality_id,cabinet_uid,source_fixture_id,source_sub_id,source_cabinet_key,administrative_dong,road_name,address,latitude,longitude,lamp_type,lamp_count,lamp_watt,rated_power_w,purpose,pole_type,pole_shape,controller_type,branch_no,source_file,source_row
SY-FIX-1db29fdb38,suyeong,SY-CAB-02055eedd2,KBS조명탑-1,1,KBS조명탑 (1),남천1동,수영로,,35.14384946,129.1094638,LED,5,500.0,2500.0,,기타,조명탑,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,2
SY-FIX-2e703deb63,suyeong,SY-CAB-3abf274d0a,감포로-1-01,1,감포로-1 (29),민락동,감포로,,35.16763724,129.1178754,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,3
SY-FIX-ce58b2a56c,suyeong,SY-CAB-3abf274d0a,감포로-1-02,1,감포로-1 (29),민락동,감포로,,35.16709287,129.1180863,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,4
SY-FIX-121a323c02,suyeong,SY-CAB-3abf274d0a,감포로-1-03,1,감포로-1 (29),민락동,감포로,,35.16664882,129.1182284,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,5
SY-FIX-2db1a7a02b,suyeong,SY-CAB-3abf274d0a,감포로-1-04,1,감포로-1 (29),민락동,감포로,,35.16609553,129.1184335,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,6
SY-FIX-0ce4395824,suyeong,SY-CAB-3abf274d0a,감포로-1-05,1,감포로-1 (29),민락동,감포로,,35.1656739,129.1185817,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,7
SY-FIX-51f3e3c88c,suyeong,SY-CAB-3abf274d0a,감포로-1-06,1,감포로-1 (29),민락동,감포로,,35.16546553,129.1186449,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,8
SY-FIX-b2762c2722,suyeong,SY-CAB-3abf274d0a,감포로-1-07,1,감포로-1 (29),민락동,감포로,,35.16492149,129.1188365,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,9
SY-FIX-bc8b81d7f3,suyeong,SY-CAB-3abf274d0a,감포로-1-08,1,감포로-1 (29),민락동,감포로,,35.16451783,129.1189879,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,10
SY-FIX-6ee43e94c7,suyeong,SY-CAB-3abf274d0a,감포로-1-09,1,감포로-1 (29),민락동,감포로,,35.1640847,129.1191495,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,11
SY-FIX-6261546033,suyeong,SY-CAB-3abf274d0a,감포로-1-10,1,감포로-1 (29),민락동,감포로,,35.16383757,129.1192391,LED,1,100.0,100.0,,기타,한전취부등,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,12
SY-FIX-7f2a6201f1,suyeong,SY-CAB-3abf274d0a,감포로-1-11,1,감포로-1 (29),민락동,감포로,,35.16362244,129.1193021,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,13
SY-FIX-86955634be,suyeong,SY-CAB-3abf274d0a,감포로-1-12,1,감포로-1 (29),민락동,감포로,,35.16314648,129.1194653,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,14
SY-FIX-8f1fce9a0a,suyeong,SY-CAB-3abf274d0a,감포로-1-13,1,감포로-1 (29),민락동,감포로,,35.16273851,129.1196056,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,15
SY-FIX-7844209f5e,suyeong,SY-CAB-3abf274d0a,감포로-1-14,1,감포로-1 (29),민락동,감포로,,35.16231247,129.1197482,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,16
SY-FIX-0e0ced228a,suyeong,SY-CAB-3abf274d0a,감포로-1-15,1,감포로-1 (29),민락동,감포로,,35.16208585,129.1198246,LED,1,150.0,150.0,,기타,스텐주,양방향식,0,부산광역시_수영구_가로등 현황_20260114.csv,17
