smart_uid,province,municipality,road_name,address_road,address_lot,latitude,longitude,lighting_control,sensor_type,manager,manager_phone,data_date,source_file
SMART-583052b3d3,경상북도,김천시,아포대로,,경상북도 김천시 남면 초곡리 1040,36.141564,128.185039,Y,동작감지센서,경상북도 김천시,054-420-6891,2026-05-07,전국스마트가로등표준데이터.csv
SMART-dab3ea050c,경기도,가평군,시장중앙로,,경기도 가평군 청평면 청평리 794,37.735753,127.41627,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-486f9dc44e,경기도,가평군,운악청계로,,경기도 가평군 조종면 현리 547-9,37.830427,127.346332,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-f0e76a8c07,경기도,가평군,조종희망로,,경기도 가평군 조종면 현리 236-10,37.824647,127.350325,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-af492bb8d6,경기도,가평군,대보간선로,,경기도 가평군 조종면 대보리 330-5,37.808353,127.364743,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-4823b61580,경기도,가평군,자잠로,,경기도 가평군 설악면 신천리 503-11,37.680809,127.492841,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-dc43316052,경기도,가평군,자잠로,,경기도 가평군 설악면 신천리 77-4,37.680262,127.493434,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-f94bda9150,경기도,가평군,연하길,,경기도 가평군 상면 연하리 171-26,37.804472,127.356702,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-8151828a63,경기도,가평군,안먹골길,,경기도 가평군 상면 연하리 51-2,37.800058,127.358613,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-edcd41725c,경기도,가평군,가화로,경기도 가평군 북면 가화로 692,경기도 가평군 북면 이곡리 605-19번지,37.871642,127.521501,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-25fe079a7e,경기도,가평군,비석거리길,,경기도 가평군 가평읍 대곡리 171-12,37.823814,127.514607,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-0428fefbf0,경기도,가평군,비석거리길,경기도 가평군 가평읍 비석거리길 7,경기도 가평군 가평읍 대곡리 196-3번지,37.823519,127.515086,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-2f5420f161,경기도,가평군,장터2길,경기도 가평군 가평읍 보납로34번길 11-1,경기도 가평군 가평읍 읍내리 407-5번지,37.830267,127.514826,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-9c6d74f336,경기도,가평군,중촌로,,경기도 가평군 가평읍 읍내리 600-12,37.833573,127.508193,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-7f4f2037c4,경기도,가평군,중촌로,,경기도 가평군 가평읍 읍내리 658,37.834861,127.507969,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-5d03bf78c7,경기도,가평군,석봉로239번길,,경기도 가평군 가평읍 읍내리 776-6,37.836302,127.507902,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-70587ead55,경기도,가평군,가평제방길,,경기도 가평군 가평읍 읍내리 389-8,37.829005,127.516845,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-0345575eba,경기도,가평군,석봉로3번길,,경기도 가평군 가평읍 대곡리 668,37.820179,127.504931,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
SMART-88782775a3,경기도,가평군,중촌로,,경기도 가평군 가평읍 읍내리 585-7,37.832316,127.507042,Y,조도센서,경기도 가평군청,031-580-2100,2026-05-22,전국스마트가로등표준데이터.csv
