model,case_id,cabinet_uid,label,control_type,score_ami,score_duration,score_solar,score_asset,score_weather,total_score,candidate,rank
M0,CTRL-SY-CAB-004f69e7e4,SY-CAB-004f69e7e4,normal_control,A_sunset_boundary,0.8,-0.0,0.0,0.0,0.0,0.8,True,1
M0,CTRL-SY-CAB-00bf3193df,SY-CAB-00bf3193df,normal_control,A_sunset_boundary,0.8,-0.0,0.0,0.0,0.0,0.8,True,2
M0,CTRL-SY-CAB-02055eedd2,SY-CAB-02055eedd2,normal_control,A_sunset_boundary,0.8,-0.0,0.0,0.0,0.0,0.8,True,3
M0,CTRL-SY-CAB-03c2f068aa,SY-CAB-03c2f068aa,normal_control,A_sunset_boundary,0.8,-0.0,0.0,0.0,0.0,0.8,True,4
M0,CTRL-SY-CAB-03d9d63714,SY-CAB-03d9d63714,normal_control,A_sunset_boundary,0.8,-0.0,0.0,0.0,0.0,0.8,True,5
M0,CTRL-SY-CAB-0ce29a4daf,SY-CAB-0ce29a4daf,normal_control,C_adverse_weather,0.55,-0.0,0.0,0.0,0.0,0.55,True,6
M0,CTRL-SY-CAB-0d4d0b1aef,SY-CAB-0d4d0b1aef,normal_control,C_adverse_weather,0.55,-0.0,0.0,0.0,0.0,0.55,True,7
M0,CTRL-SY-CAB-128c928604,SY-CAB-128c928604,normal_control,C_adverse_weather,0.55,-0.0,0.0,0.0,0.0,0.55,True,8
M0,CTRL-SY-CAB-13aef7fca2,SY-CAB-13aef7fca2,normal_control,C_adverse_weather,0.55,-0.0,0.0,0.0,0.0,0.55,True,9
M0,CTRL-SY-CAB-13ec418774,SY-CAB-13ec418774,normal_control,C_adverse_weather,0.55,-0.0,0.0,0.0,0.0,0.55,True,10
M0,CTRL-SY-CAB-05c162ca05,SY-CAB-05c162ca05,normal_control,B_sunrise_residual,0.35,-0.0,0.0,0.0,0.0,0.35,True,11
M0,CTRL-SY-CAB-06b2b5626a,SY-CAB-06b2b5626a,normal_control,B_sunrise_residual,0.35,-0.0,0.0,0.0,0.0,0.35,True,12
M0,CTRL-SY-CAB-0a08599e9b,SY-CAB-0a08599e9b,normal_control,B_sunrise_residual,0.35,-0.0,0.0,0.0,0.0,0.35,True,13
M0,CTRL-SY-CAB-0c98179588,SY-CAB-0c98179588,normal_control,B_sunrise_residual,0.35,-0.0,0.0,0.0,0.0,0.35,True,14
M0,CTRL-SY-CAB-0cd2440ab1,SY-CAB-0cd2440ab1,normal_control,B_sunrise_residual,0.35,-0.0,0.0,0.0,0.0,0.35,True,15
M0,ANOM-SY-CAB-082c6a7345,SY-CAB-082c6a7345,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,16
M0,ANOM-SY-CAB-0c940c7f31,SY-CAB-0c940c7f31,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,17
M0,ANOM-SY-CAB-0ff5c26f27,SY-CAB-0ff5c26f27,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,18
M0,ANOM-SY-CAB-11a030806b,SY-CAB-11a030806b,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,19
M0,ANOM-SY-CAB-16bce2a1c0,SY-CAB-16bce2a1c0,injected_anomaly,,0.2,-0.0,0.0,0.0,0.0,0.2,True,20
