parameter,setting,anomaly_recall,normal_fpr,precision_at_10,precision_at_20,candidate_count,spearman_rho,kendall_tau,top20_overlap,frozen_baseline,promotion_policy
threshold,0.5,1.0,0.04430379746835443,1.0,1.0,53,1.0,1.0,1.0,False,diagnostic_only_no_retuning
threshold,0.525,0.9782608695652174,0.03164556962025317,1.0,1.0,50,1.0,1.0,1.0,False,diagnostic_only_no_retuning
threshold,0.55,0.9782608695652174,0.0189873417721519,1.0,1.0,48,1.0,1.0,1.0,True,diagnostic_only_no_retuning
threshold,0.575,0.9565217391304348,0.012658227848101266,1.0,1.0,46,1.0,1.0,1.0,False,diagnostic_only_no_retuning
threshold,0.6,0.9565217391304348,0.0,1.0,1.0,44,1.0,1.0,1.0,False,diagnostic_only_no_retuning
activation,0.8,0.9565217391304348,0.0,1.0,1.0,44,0.9929479613544324,0.9399207959045687,0.9,False,diagnostic_only_no_retuning
activation,0.9,0.9565217391304348,0.012658227848101266,1.0,1.0,46,0.9981327434253768,0.9709263015551048,1.0,False,diagnostic_only_no_retuning
activation,1.0,0.9782608695652174,0.0189873417721519,1.0,1.0,48,1.0,1.0,1.0,True,diagnostic_only_no_retuning
activation,1.1,0.9782608695652174,0.03164556962025317,1.0,1.0,50,0.9979800835388823,0.9727615184004637,1.0,False,diagnostic_only_no_retuning
activation,1.2,0.9782608695652174,0.06962025316455696,1.0,1.0,56,0.9933833247344354,0.9466821211243118,0.95,False,diagnostic_only_no_retuning
duration,0.8,0.9565217391304348,0.0,1.0,1.0,44,0.9979730159515446,0.9692842654303101,0.95,False,diagnostic_only_no_retuning
duration,0.9,0.9782608695652174,0.012658227848101266,1.0,1.0,47,0.9994388335653858,0.9857046266782575,1.0,False,diagnostic_only_no_retuning
duration,1.0,0.9782608695652174,0.0189873417721519,1.0,1.0,48,1.0,1.0,1.0,True,diagnostic_only_no_retuning
duration,1.1,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9994614498448665,0.9853182652371293,1.0,False,diagnostic_only_no_retuning
duration,1.2,1.0,0.0379746835443038,1.0,1.0,52,0.9978528669668035,0.9684149521877716,1.0,False,diagnostic_only_no_retuning
load,0.8,0.9565217391304348,0.0189873417721519,1.0,1.0,47,0.9998091751418818,0.9915966386554622,1.0,False,diagnostic_only_no_retuning
load,0.9,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9999307376440905,0.9961363855887182,1.0,False,diagnostic_only_no_retuning
load,1.0,0.9782608695652174,0.0189873417721519,1.0,1.0,48,1.0,1.0,1.0,True,diagnostic_only_no_retuning
load,1.1,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.999916602469415,0.995556843427026,1.0,False,diagnostic_only_no_retuning
load,1.2,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9997201235414267,0.9898580121703854,1.0,False,diagnostic_only_no_retuning
phase,0.8,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9997243640938293,0.9900511928909494,1.0,False,diagnostic_only_no_retuning
phase,0.9,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9998840915676616,0.9949773012653337,1.0,False,diagnostic_only_no_retuning
phase,1.0,0.9782608695652174,0.0189873417721519,1.0,1.0,48,1.0,1.0,1.0,True,diagnostic_only_no_retuning
phase,1.1,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9999095348820773,0.9954602530667439,1.0,False,diagnostic_only_no_retuning
phase,1.2,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.999814829211752,0.9920795904568724,1.0,False,diagnostic_only_no_retuning
solar_penalty,0.8,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9967785936914716,0.9711194822756689,1.0,False,diagnostic_only_no_retuning
solar_penalty,0.9,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9990232594299284,0.9848353134357191,1.0,False,diagnostic_only_no_retuning
solar_penalty,1.0,0.9782608695652174,0.0189873417721519,1.0,1.0,48,1.0,1.0,1.0,True,diagnostic_only_no_retuning
solar_penalty,1.1,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9990458757094091,0.9849319037960012,1.0,False,diagnostic_only_no_retuning
solar_penalty,1.2,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9964082521149755,0.9688013136288999,1.0,False,diagnostic_only_no_retuning
transient_penalty,0.8,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9961099999293241,0.9696706268714382,1.0,False,diagnostic_only_no_retuning
transient_penalty,0.9,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9989582376264214,0.9853182652371293,1.0,False,diagnostic_only_no_retuning
transient_penalty,1.0,0.9782608695652174,0.0189873417721519,1.0,1.0,48,1.0,1.0,1.0,True,diagnostic_only_no_retuning
transient_penalty,1.1,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9992084302181764,0.9872500724427702,1.0,False,diagnostic_only_no_retuning
transient_penalty,1.2,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.997262016665371,0.9751762774075148,1.0,False,diagnostic_only_no_retuning
policy_penalty,0.8,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9985780014276526,0.9873466628030523,1.0,False,diagnostic_only_no_retuning
policy_penalty,0.9,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9995646366199971,0.9942045783830774,1.0,False,diagnostic_only_no_retuning
policy_penalty,1.0,0.9782608695652174,0.0189873417721519,1.0,1.0,48,1.0,1.0,1.0,True,diagnostic_only_no_retuning
policy_penalty,1.1,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9996904396746082,0.995653433787308,1.0,False,diagnostic_only_no_retuning
policy_penalty,1.2,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.9990995893731757,0.9909205061334879,1.0,False,diagnostic_only_no_retuning
