stress_id,kind,seed,controlled_anomaly_recall,controlled_normal_fpr,controlled_precision_at_10,controlled_precision_at_20,controlled_candidate_count,controlled_evaluable_rate,actual_canonical_event_coverage,actual_interval_iou,actual_phase_consistency,actual_candidate_jaccard,actual_candidate_count_drift,actual_unavailable_sample_count,actual_total_sample_count,actual_duplicate_conflict_count,actual_transform_hashes,claim_scope
baseline,none,5052026,0.9782608695652174,0.0189873417721519,1.0,1.0,48,1.0,1.0,1.0,1.0,1.0,0,0,110,0,"{""AMI-EVT-237615b73a"": ""b307bf0cc296a0cbe135c51d0d1f28c8c3483ef97d61397770efd76c39acc330"", ""AMI-EVT-4ada00d8f3"": ""c1ba71906b0b21f8b2cdd0fde18ab678090895e7e983c2635a64d8e395e376e1"", ""AMI-EVT-d406cc5296"": ""5b26fbf5c3ff17ed220076e19fa5a42a207a5381babfd21d5264dc8bf49dc875"", ""AMI-EVT-d706634ed1"": ""06f7c4cbb9ce3031e3a5440410bd5281ddc820eac0089c1751427ded8c55654d"", ""AMI-EVT-f394b2a542"": ""2ee4e169a88d20ed005ce98af8af647b343f13a0dec45e4b26738d6c602f0ecb"", ""AMI-EVT-fda2dd8737"": ""2552d70ea6114b0c4920afab9c560ce37b1f3321ff4fcc6e9fc9f4ecd7916f9c""}",technical robustness; actual AMI has no truth labels
missing_5pct,random_missingness,5052027,0.9130434782608695,0.012658227848101266,1.0,1.0,44,0.9117647058823529,1.0,1.0,1.0,1.0,0,7,110,0,"{""AMI-EVT-237615b73a"": ""63d27236b70b3c89e96a00c9c07eaaf74d21b4675203c3769e0d6d2a19dcecde"", ""AMI-EVT-4ada00d8f3"": ""c1ba71906b0b21f8b2cdd0fde18ab678090895e7e983c2635a64d8e395e376e1"", ""AMI-EVT-d406cc5296"": ""5b26fbf5c3ff17ed220076e19fa5a42a207a5381babfd21d5264dc8bf49dc875"", ""AMI-EVT-d706634ed1"": ""e0b44b5a27cd02612c2536aafa0c450fcc6593b481b1f8cd466685ab309de8a7"", ""AMI-EVT-f394b2a542"": ""8cb97d0f451c0aeca5c2b088a3f7928907dddcd57d7db6635977e5c0cd938d11"", ""AMI-EVT-fda2dd8737"": ""e990a722acf676006f04a711e94a89ef662592deb91f262ad7b8144154311a23""}",technical robustness; actual AMI has no truth labels
missing_10pct,random_missingness,5052028,0.9347826086956522,0.0189873417721519,1.0,1.0,46,0.8970588235294118,1.0,0.9722222222222222,1.0,1.0,0,11,110,0,"{""AMI-EVT-237615b73a"": ""4cbbda3b118856d803c64f4dd136d066e97422c601cf5693e710314ef76506ee"", ""AMI-EVT-4ada00d8f3"": ""512aed50ad52221638c20c2188039c9a93ebdf9dce39762f2167361279116138"", ""AMI-EVT-d406cc5296"": ""12b7a3277a3f3f1b043602381548cdf6454bcfb41b48bec7aa27609fe15db624"", ""AMI-EVT-d706634ed1"": ""d687c5a15d12269381b6eed34499f6229fc71bf0c91a131ab8877b925e42cece"", ""AMI-EVT-f394b2a542"": ""79b4b24e03ca7bc64f7f61d1b77c43f441442f19d072217d8bdc782eab560cd5"", ""AMI-EVT-fda2dd8737"": ""3d9ad7553ac44e869da633077170895527d8aa98647e98cb18d8bd906dd56113""}",technical robustness; actual AMI has no truth labels
missing_20pct,random_missingness,5052029,0.782608695652174,0.012658227848101266,1.0,1.0,38,0.7990196078431373,0.8333333333333334,0.75,0.8333333333333334,0.8333333333333334,-1,22,110,0,"{""AMI-EVT-237615b73a"": ""adce4e2142f4edb213da6d0ca25a273b09845c0fa7672b0c3f15e82e7e19c3d7"", ""AMI-EVT-4ada00d8f3"": ""844ef7c8f7148fad073d1c8ddfaa359d4bac91b511869ce5eb92c628e2871359"", ""AMI-EVT-d406cc5296"": ""86f9f59240beb75cc94de2e7812a3e3fdb9fa260d40a9b53c0249fed9e0305f4"", ""AMI-EVT-d706634ed1"": ""e71083d3e87621fc5b4925f73f4bfb4ac4511977bacd360ddb5a69b2acb04db3"", ""AMI-EVT-f394b2a542"": ""4359d7754f59e0c91457efda5906358945925fc959b4dde0169e72b85d0ff9ea"", ""AMI-EVT-fda2dd8737"": ""bb668422e26ec9a4dc50c402bc70869020ae096fdc47405dc029d301a040e896""}",technical robustness; actual AMI has no truth labels
gap_30m,contiguous_gap,5052037,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.8186274509803921,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.16666666666666666,-5,12,110,0,"{""AMI-EVT-237615b73a"": ""a8fb610b7cab6097cd2082ecf2c2faa00d237687488453d8ce0873ee09121927"", ""AMI-EVT-4ada00d8f3"": ""5ca467ede493810f1dfd4fc45f3b89b684b0fb3b48a65dc34a9371302ffc1951"", ""AMI-EVT-d406cc5296"": ""447d3985bbaa3fba8da50cc7cc397b0130a23a3362e052dbc855da0f760fd946"", ""AMI-EVT-d706634ed1"": ""a8ee00f309264aa945744533903472db6828f3cec25977ce4cee3a2a5cf8ef38"", ""AMI-EVT-f394b2a542"": ""aabbbb96996aa02b8a23d08d0e268b6b950040b62e13a40da3fd1960e2aa7a3c"", ""AMI-EVT-fda2dd8737"": ""19e88e1857646525a4ec1e938ca44861a3e03a667f5b568426558b48936b1dd6""}",technical robustness; actual AMI has no truth labels
gap_60m,contiguous_gap,5052038,0.7608695652173914,0.0189873417721519,1.0,1.0,38,0.6470588235294118,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.16666666666666666,-5,24,110,0,"{""AMI-EVT-237615b73a"": ""91474c0e3046078cad70fe20ea931c07245f0e9d4f561bc50bc31942d5d77eee"", ""AMI-EVT-4ada00d8f3"": ""3523b02d097a4e88ab7aff8599addc57312832213eb20dcc1153aaf71d7aa777"", ""AMI-EVT-d406cc5296"": ""7701ba607104855fe47ba85e489bb2596b1e32550eca726b4162b5b2bc63d753"", ""AMI-EVT-d706634ed1"": ""bf752bf60fcaefd3c23dee7a2d71868c5874127547c84394a170515df31e9e76"", ""AMI-EVT-f394b2a542"": ""4f882bb80a522f1ec053be894cd5e382f9a692e6f69d65ef871fd9a5403888f1"", ""AMI-EVT-fda2dd8737"": ""28386df14669049862db19c3a9adbe42acf08e9f5781c094d6ceb2624bbbed9c""}",technical robustness; actual AMI has no truth labels
gap_120m,contiguous_gap,5052039,0.4782608695652174,0.0189873417721519,1.0,1.0,25,0.5147058823529411,0.0,0.0,0.0,0.0,-6,48,110,0,"{""AMI-EVT-237615b73a"": ""f20569eba1a0c5b8b3c2904355ea4a2fef769be75de0e55a399bd89de20c8ff6"", ""AMI-EVT-4ada00d8f3"": ""4756feb088ee6e63d6b260e9add690a365b068783cc94723a7f27e30d4cdee0c"", ""AMI-EVT-d406cc5296"": ""a1482efd32701bf43ad89eeaf11b8aa0dc874688ba28b70bf5c7ce63d5db09f7"", ""AMI-EVT-d706634ed1"": ""e39a487778a2951cd0405595398058aa52baec558cd7012b0a8f4b74edae3711"", ""AMI-EVT-f394b2a542"": ""87b5a604252ef00f8366a5c89b8e90e57cab54bd749743ac4ed220fca0762aae"", ""AMI-EVT-fda2dd8737"": ""d35a8fb8e808dbcb862f145aa1fa5cbfcd9beea4ecb61c762772cb98b1ac6d51""}",technical robustness; actual AMI has no truth labels
downsample_30m,downsample,5052047,0.9782608695652174,0.0189873417721519,1.0,1.0,48,0.7401960784313726,1.0,0.7222222222222223,1.0,1.0,0,54,110,0,"{""AMI-EVT-237615b73a"": ""70a44f4a5376b88a05d8dbad678617bceaa0bd8dc7458ff72a1f78ef8d5befde"", ""AMI-EVT-4ada00d8f3"": ""a68f979e87951415ccb4613b00b1f63612d02c66017a7cb07db839355b8a050f"", ""AMI-EVT-d406cc5296"": ""80932e61d952d8cf539b408ce9ec692c06a2887fd4e70daa4f60db878f46abf6"", ""AMI-EVT-d706634ed1"": ""a04260e8b608ebc49806108e5aecd0a6ff00bb027b5d72c317330e2b1881f7c5"", ""AMI-EVT-f394b2a542"": ""0242c1b7e268d303641602b24ff693757840e3ba8d2a56c38216731cb9ff3fbf"", ""AMI-EVT-fda2dd8737"": ""1213000f74e5ef4e92003bef5c05b38b3f921cdc4043e853c5576b06995b4311""}",technical robustness; actual AMI has no truth labels
downsample_60m,downsample,5052048,0.8913043478260869,0.0379746835443038,1.0,1.0,47,0.6176470588235294,1.0,0.611111111111111,1.0,1.0,0,79,110,0,"{""AMI-EVT-237615b73a"": ""bd453b02e07de1bc9353a893e1ba08428f76058bc490ee6f16fc65fe994be2d0"", ""AMI-EVT-4ada00d8f3"": ""408a221d9710d0939c940f4d1880c892f706ccf0b895abbbca5b437bbc5770fd"", ""AMI-EVT-d406cc5296"": ""0649654709c86276459980385db7cb36711841a0f0183aaf7e6fe7987a9ad68e"", ""AMI-EVT-d706634ed1"": ""64cc852f2b8e00bcde1c7e7e0801e11980c755ee476f308ac50b0762ee2eb0b9"", ""AMI-EVT-f394b2a542"": ""681b106058530be2d8065b0c5ea1b6973f26b638e425852d74cdd59719b69659"", ""AMI-EVT-fda2dd8737"": ""08bf961adbd9c6a5659b490c11e5d655429df5c082220dfcec2199e4a45e3b05""}",technical robustness; actual AMI has no truth labels
drop_i1,phase_dropout,5052057,0.9565217391304348,0.0189873417721519,1.0,1.0,47,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,-2,35,110,0,"{""AMI-EVT-237615b73a"": ""6ea69023d7982a8d7ceae23e0e206531d4861d7fd72e1ee4e02cf52ae486b9f3"", ""AMI-EVT-4ada00d8f3"": ""8dd427a3815c3e3941227e401f7bac93a2f13e9c5f319e84d10121da1169b873"", ""AMI-EVT-d406cc5296"": ""a879670af3ef2ea9c7be9f520e6316be8f23220b40463fbe4f4d5b83c28e8aba"", ""AMI-EVT-d706634ed1"": ""102da4fada4aac789e465df02b595d2c0f2baff16e4b0706051cec70b8b0fd37"", ""AMI-EVT-f394b2a542"": ""c14ceb3740ed9ed27d6cae0e63d64dfd40ed83c7cc1513156ac76b85e9f5bd89"", ""AMI-EVT-fda2dd8737"": ""2452c03eac666cb5540bbba3d254fbd54d62e974b039272d495d12a944c7af33""}",technical robustness; actual AMI has no truth labels
