meter_id,month,off_baseline_a,on_baseline_a,on_off_separation_a,night_current_cv,transition_off_median_minute,transition_on_median_minute,candidate_count_30d_causal,data_availability,missing_current_rows,interpretation
B-L-9,2026-04,4.522,50.5499,46.0279,0.003756,375,1170,0,0.999653,0,descriptive meter behavior; not a fault rate
B-L-9,2026-05,4.573,50.71945,46.14645,0.006113,330,1200,2,0.999664,0,descriptive meter behavior; not a fault rate
B-L-9,2026-06,4.564,51.389,46.825,0.0074,315,1215,0,1.0,0,descriptive meter behavior; not a fault rate
B-L-12,2026-04,4.7859,9.005,4.2191,0.008735,345,1170,0,0.994792,14,descriptive meter behavior; not a fault rate
B-L-12,2026-05,4.718,8.771,4.053,0.013312,315,1200,0,0.993952,17,descriptive meter behavior; not a fault rate
B-L-12,2026-06,4.678,8.587,3.909,0.005422,315,1215,0,0.994792,15,descriptive meter behavior; not a fault rate
B-L-13,2026-04,0.02,8.86,8.84,0.003212,360,1170,0,0.994792,0,descriptive meter behavior; not a fault rate
B-L-13,2026-05,0.03,8.84,8.81,0.002726,315,1200,0,0.993616,0,descriptive meter behavior; not a fault rate
B-L-13,2026-06,0.03,8.84,8.81,0.002377,315,1215,1,0.994792,0,descriptive meter behavior; not a fault rate
B-L-14,2026-04,0.03,16.24,16.21,0.004008,360,1170,0,0.999306,0,descriptive meter behavior; not a fault rate
B-L-14,2026-05,0.03,16.175,16.145,0.003977,330,1200,2,0.999664,0,descriptive meter behavior; not a fault rate
B-L-14,2026-06,0.03,16.1499,16.1199,0.003182,315,1215,0,1.0,0,descriptive meter behavior; not a fault rate
B-L-35,2026-04,0.05,17.26,17.21,0.003259,375,1170,0,0.993403,2,descriptive meter behavior; not a fault rate
B-L-35,2026-05,0.05,17.14,17.09,0.004498,345,1200,1,0.994624,0,descriptive meter behavior; not a fault rate
B-L-35,2026-06,0.05,17.1,17.05,0.004154,330,1230,0,0.995139,0,descriptive meter behavior; not a fault rate
