run_id,activation_level,duration_level,load_level,phase_level,activation_weight,duration_weight,load_weight,phase_weight,anomaly_recall,normal_fpr,precision_at_20,candidate_count,promotion_policy
1,-1,-1,-1,-1,0.54,0.225,0.225,0.18000000000000002,0.9130434782608695,0.0,1.0,42,diagnostic_only_no_retuning
2,-1,-1,-1,1,0.54,0.225,0.225,0.22000000000000003,0.9565217391304348,0.0,1.0,44,diagnostic_only_no_retuning
3,-1,-1,1,-1,0.54,0.225,0.275,0.18000000000000002,0.9565217391304348,0.0,1.0,44,diagnostic_only_no_retuning
4,-1,-1,1,1,0.54,0.225,0.275,0.22000000000000003,0.9565217391304348,0.0,1.0,44,diagnostic_only_no_retuning
5,-1,1,-1,-1,0.54,0.275,0.225,0.18000000000000002,0.9565217391304348,0.0189873417721519,1.0,47,diagnostic_only_no_retuning
6,-1,1,-1,1,0.54,0.275,0.225,0.22000000000000003,0.9565217391304348,0.0189873417721519,1.0,47,diagnostic_only_no_retuning
7,-1,1,1,-1,0.54,0.275,0.275,0.18000000000000002,0.9782608695652174,0.0189873417721519,1.0,48,diagnostic_only_no_retuning
8,-1,1,1,1,0.54,0.275,0.275,0.22000000000000003,0.9782608695652174,0.0189873417721519,1.0,48,diagnostic_only_no_retuning
9,1,-1,-1,-1,0.66,0.225,0.225,0.18000000000000002,0.9782608695652174,0.0189873417721519,1.0,48,diagnostic_only_no_retuning
10,1,-1,-1,1,0.66,0.225,0.225,0.22000000000000003,0.9782608695652174,0.0189873417721519,1.0,48,diagnostic_only_no_retuning
11,1,-1,1,-1,0.66,0.225,0.275,0.18000000000000002,0.9782608695652174,0.0189873417721519,1.0,48,diagnostic_only_no_retuning
12,1,-1,1,1,0.66,0.225,0.275,0.22000000000000003,0.9782608695652174,0.0189873417721519,1.0,48,diagnostic_only_no_retuning
13,1,1,-1,-1,0.66,0.275,0.225,0.18000000000000002,0.9782608695652174,0.04430379746835443,1.0,52,diagnostic_only_no_retuning
14,1,1,-1,1,0.66,0.275,0.225,0.22000000000000003,1.0,0.04430379746835443,1.0,53,diagnostic_only_no_retuning
15,1,1,1,-1,0.66,0.275,0.275,0.18000000000000002,1.0,0.04430379746835443,1.0,53,diagnostic_only_no_retuning
16,1,1,1,1,0.66,0.275,0.275,0.22000000000000003,1.0,0.04430379746835443,1.0,53,diagnostic_only_no_retuning
