term,order,metric,effect_high_minus_low,design,claim_scope
activation,1,anomaly_recall,0.0298913,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation,1,normal_fpr,0.0221519,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation,1,precision_at_20,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation,1,candidate_count,4.875,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration,1,anomaly_recall,0.01902174,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration,1,normal_fpr,0.0221519,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration,1,precision_at_20,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration,1,candidate_count,4.375,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
load,1,anomaly_recall,0.01358696,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
load,1,normal_fpr,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
load,1,precision_at_20,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
load,1,candidate_count,0.625,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
phase,1,anomaly_recall,0.00815217,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
phase,1,normal_fpr,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
phase,1,precision_at_20,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
phase,1,candidate_count,0.375,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:duration,2,anomaly_recall,-0.00271739,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:duration,2,normal_fpr,0.00316456,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:duration,2,precision_at_20,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:duration,2,candidate_count,0.375,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:load,2,anomaly_recall,-0.00815217,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:load,2,normal_fpr,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:load,2,precision_at_20,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:load,2,candidate_count,-0.375,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:phase,2,anomaly_recall,-0.00271739,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:phase,2,normal_fpr,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:phase,2,precision_at_20,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
activation:phase,2,candidate_count,-0.125,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration:load,2,anomaly_recall,0.00271739,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration:load,2,normal_fpr,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration:load,2,precision_at_20,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration:load,2,candidate_count,0.125,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration:phase,2,anomaly_recall,-0.00271739,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration:phase,2,normal_fpr,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration:phase,2,precision_at_20,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
duration:phase,2,candidate_count,-0.125,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
load:phase,2,anomaly_recall,-0.00815217,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
load:phase,2,normal_fpr,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
load:phase,2,precision_at_20,0.0,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
load:phase,2,candidate_count,-0.375,"2^4 full factorial at frozen weight x {0.9,1.1}",interaction diagnostic only; no selection or retuning
