model,factor,level,total,anomalies,normals,recall,fpr,abstention_rate,recall_effect_vs_overall,fpr_effect_vs_overall,interpretation
frozen_v04,region,chungju,144,72,72,0.37500000,0.27777778,0.00000000,-0.12962963,-0.03703704,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region,gangneung,144,72,72,0.54166667,0.36111111,0.00000000,0.03703704,0.04629630,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region,suyeong,144,72,72,0.59722222,0.30555556,0.00000000,0.09259259,-0.00925926,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,season,autumn,108,54,54,0.48148148,0.31481481,0.00000000,-0.02314815,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,season,spring,108,54,54,0.48148148,0.31481481,0.00000000,-0.02314815,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,season,summer,108,54,54,0.51851852,0.31481481,0.00000000,0.01388889,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,season,winter,108,54,54,0.53703704,0.31481481,0.00000000,0.03240741,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,chungju:autumn,36,18,18,0.33333333,0.27777778,0.00000000,-0.17129630,-0.03703704,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,chungju:spring,36,18,18,0.33333333,0.27777778,0.00000000,-0.17129630,-0.03703704,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,chungju:summer,36,18,18,0.44444444,0.27777778,0.00000000,-0.06018519,-0.03703704,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,chungju:winter,36,18,18,0.38888889,0.27777778,0.00000000,-0.11574074,-0.03703704,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,gangneung:autumn,36,18,18,0.44444444,0.38888889,0.00000000,-0.06018519,0.07407407,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,gangneung:spring,36,18,18,0.50000000,0.33333333,0.00000000,-0.00462963,0.01851852,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,gangneung:summer,36,18,18,0.66666667,0.33333333,0.00000000,0.16203704,0.01851852,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,gangneung:winter,36,18,18,0.55555556,0.38888889,0.00000000,0.05092593,0.07407407,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,suyeong:autumn,36,18,18,0.66666667,0.27777778,0.00000000,0.16203704,-0.03703704,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,suyeong:spring,36,18,18,0.61111111,0.33333333,0.00000000,0.10648148,0.01851852,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,suyeong:summer,36,18,18,0.44444444,0.33333333,0.00000000,-0.06018519,0.01851852,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,region_x_season,suyeong:winter,36,18,18,0.66666667,0.27777778,0.00000000,0.16203704,-0.03703704,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,feature_availability,complete,67,37,30,0.67567568,0.26666667,0.00000000,0.17104605,-0.04814815,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,feature_availability,load_phase_unavailable_no_imputation,47,22,25,0.45454545,0.24000000,0.00000000,-0.05008418,-0.07481481,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,feature_availability,load_unavailable,66,32,34,0.43750000,0.14705882,0.00000000,-0.06712963,-0.16775599,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,feature_availability,load_unavailable_no_imputation,51,33,18,0.33333333,0.33333333,0.00000000,-0.17129630,0.01851852,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,feature_availability,load_weather_unavailable_no_imputation,46,17,29,0.35294118,0.27586207,0.00000000,-0.15168845,-0.03895275,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,feature_availability,phase_unavailable,72,36,36,0.47222222,0.25000000,0.00000000,-0.03240741,-0.06481481,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,feature_availability,weather_unavailable,83,39,44,0.66666667,0.59090909,0.00000000,0.16203704,0.27609428,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,allowed_partial_operation,36,0,36,,0.00000000,0.00000000,,-0.31481481,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,deep_day_full_activation,24,24,0,0.16666667,,0.00000000,-0.33796296,,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,deep_day_partial_activation,36,36,0,0.50000000,,0.00000000,-0.00462963,,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,feature_missing_normal,24,0,24,,1.00000000,0.00000000,,0.68518519,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,high_cloud_or_rainfall_hard_negative,24,0,24,,0.16666667,0.00000000,,-0.14814815,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,moderate_load_mismatch,24,24,0,0.25000000,,0.00000000,-0.25462963,,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,normal_full_operation,36,0,36,,1.00000000,0.00000000,,0.68518519,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,partial_activation_long_persistence,24,24,0,0.50000000,,0.00000000,-0.00462963,,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,phase_anomaly_moderate_activation,24,24,0,0.70833333,,0.00000000,0.20370370,,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,phase_selective_activation,24,24,0,0.50000000,,0.00000000,-0.00462963,,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,post_sunrise_persistent_activation,36,36,0,0.61111111,,0.00000000,0.10648148,,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,short_transient_spike,36,0,36,,0.00000000,0.00000000,,-0.31481481,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,scenario_type,temporary_load_fluctuation,24,0,24,,0.00000000,0.00000000,,-0.31481481,controlled_generated_factor_effect_not_actual_region_effect
