base_case_id,state,region_id,season,label,scenario_type,score,decision,abstained,score_delta_vs_observed,decision_changed,evidence_completeness,imputation
V08-CON-SUY-WIN-01,as_observed,suyeong,winter,normal,normal_full_operation,0.30066667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-01,load_unavailable,suyeong,winter,normal,normal_full_operation,0.31120000,normal,false,0.01053333,false,0.33333333,none
V08-CON-SUY-WIN-01,weather_unavailable,suyeong,winter,normal,normal_full_operation,0.30066667,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-01,phase_unavailable,suyeong,winter,normal,normal_full_operation,0.30066667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-02,as_observed,suyeong,winter,normal,normal_full_operation,0.33733333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-02,load_unavailable,suyeong,winter,normal,normal_full_operation,0.36800000,normal,false,0.03066667,false,0.33333333,none
V08-CON-SUY-WIN-02,weather_unavailable,suyeong,winter,normal,normal_full_operation,0.33733333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-02,phase_unavailable,suyeong,winter,normal,normal_full_operation,0.33733333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-03,as_observed,suyeong,winter,normal,normal_full_operation,0.36960000,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-03,load_unavailable,suyeong,winter,normal,normal_full_operation,0.38640000,normal,false,0.01680000,false,0.33333333,none
V08-CON-SUY-WIN-03,weather_unavailable,suyeong,winter,normal,normal_full_operation,0.36960000,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-03,phase_unavailable,suyeong,winter,normal,normal_full_operation,0.36960000,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-04,as_observed,suyeong,winter,normal,twilight_boundary_operation,0.07683333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-04,load_unavailable,suyeong,winter,normal,twilight_boundary_operation,0.08520000,normal,false,0.00836667,false,0.33333333,none
V08-CON-SUY-WIN-04,weather_unavailable,suyeong,winter,normal,twilight_boundary_operation,0.07683333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-04,phase_unavailable,suyeong,winter,normal,twilight_boundary_operation,0.07683333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-05,as_observed,suyeong,winter,normal,twilight_boundary_operation,0.20846667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-05,load_unavailable,suyeong,winter,normal,twilight_boundary_operation,0.24560000,normal,false,0.03713333,false,0.33333333,none
V08-CON-SUY-WIN-05,weather_unavailable,suyeong,winter,normal,twilight_boundary_operation,0.20846667,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-05,phase_unavailable,suyeong,winter,normal,twilight_boundary_operation,0.20846667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-06,as_observed,suyeong,winter,normal,twilight_boundary_operation,0.48273333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-06,load_unavailable,suyeong,winter,normal,twilight_boundary_operation,0.52800000,abstain,true,0.04526667,true,0.33333333,none
V08-CON-SUY-WIN-06,weather_unavailable,suyeong,winter,normal,twilight_boundary_operation,0.48273333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-06,phase_unavailable,suyeong,winter,normal,twilight_boundary_operation,0.48273333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-07,as_observed,suyeong,winter,normal,short_transient_spike,0.03063333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-07,load_unavailable,suyeong,winter,normal,short_transient_spike,0.03480000,normal,false,0.00416667,false,0.33333333,none
V08-CON-SUY-WIN-07,weather_unavailable,suyeong,winter,normal,short_transient_spike,0.03063333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-07,phase_unavailable,suyeong,winter,normal,short_transient_spike,0.03063333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-08,as_observed,suyeong,winter,normal,short_transient_spike,0.00000000,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-08,load_unavailable,suyeong,winter,normal,short_transient_spike,0.00000000,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-08,weather_unavailable,suyeong,winter,normal,short_transient_spike,0.00000000,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-08,phase_unavailable,suyeong,winter,normal,short_transient_spike,0.00000000,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-09,as_observed,suyeong,winter,normal,short_transient_spike,0.03063333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-09,load_unavailable,suyeong,winter,normal,short_transient_spike,0.03480000,normal,false,0.00416667,false,0.33333333,none
V08-CON-SUY-WIN-09,weather_unavailable,suyeong,winter,normal,short_transient_spike,0.03063333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-09,phase_unavailable,suyeong,winter,normal,short_transient_spike,0.03063333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-10,as_observed,suyeong,winter,normal,allowed_partial_operation,0.24073333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-10,load_unavailable,suyeong,winter,normal,allowed_partial_operation,0.26400000,normal,false,0.02326667,false,0.33333333,none
V08-CON-SUY-WIN-10,weather_unavailable,suyeong,winter,normal,allowed_partial_operation,0.24073333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-10,phase_unavailable,suyeong,winter,normal,allowed_partial_operation,0.24073333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-11,as_observed,suyeong,winter,normal,allowed_partial_operation,0.01486667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-11,load_unavailable,suyeong,winter,normal,allowed_partial_operation,0.03440000,normal,false,0.01953333,false,0.33333333,none
V08-CON-SUY-WIN-11,weather_unavailable,suyeong,winter,normal,allowed_partial_operation,0.01486667,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-11,phase_unavailable,suyeong,winter,normal,allowed_partial_operation,0.01486667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-12,as_observed,suyeong,winter,normal,allowed_partial_operation,0.06913333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-12,load_unavailable,suyeong,winter,normal,allowed_partial_operation,0.06913333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-12,weather_unavailable,suyeong,winter,normal,allowed_partial_operation,0.06913333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-12,phase_unavailable,suyeong,winter,normal,allowed_partial_operation,0.07200000,normal,false,0.00286667,false,0.33333333,none
V08-CON-SUY-WIN-13,as_observed,suyeong,winter,normal,temporary_load_fluctuation,0.01523333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-13,load_unavailable,suyeong,winter,normal,temporary_load_fluctuation,0.01523333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-13,weather_unavailable,suyeong,winter,normal,temporary_load_fluctuation,0.01523333,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-13,phase_unavailable,suyeong,winter,normal,temporary_load_fluctuation,0.03480000,normal,false,0.01956667,false,0.33333333,none
V08-CON-SUY-WIN-14,as_observed,suyeong,winter,normal,temporary_load_fluctuation,0.02476667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-14,load_unavailable,suyeong,winter,normal,temporary_load_fluctuation,0.02476667,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-14,weather_unavailable,suyeong,winter,normal,temporary_load_fluctuation,0.02476667,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-14,phase_unavailable,suyeong,winter,normal,temporary_load_fluctuation,0.03440000,normal,false,0.00963333,false,0.33333333,none
V08-CON-SUY-WIN-15,as_observed,suyeong,winter,normal,feature_missing_normal,0.15986667,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-15,load_unavailable,suyeong,winter,normal,feature_missing_normal,0.15760000,normal,false,-0.00226667,false,0.00000000,none
V08-CON-SUY-WIN-15,weather_unavailable,suyeong,winter,normal,feature_missing_normal,0.15986667,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-15,phase_unavailable,suyeong,winter,normal,feature_missing_normal,0.15986667,normal,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-16,as_observed,suyeong,winter,normal,feature_missing_normal,0.20433333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-16,load_unavailable,suyeong,winter,normal,feature_missing_normal,0.22476667,normal,false,0.02043333,false,0.33333333,none
V08-CON-SUY-WIN-16,weather_unavailable,suyeong,winter,normal,feature_missing_normal,0.20433333,normal,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-16,phase_unavailable,suyeong,winter,normal,feature_missing_normal,0.21486667,normal,false,0.01053333,false,0.33333333,none
V08-CON-SUY-WIN-17,as_observed,suyeong,winter,normal,high_cloud_or_rainfall_hard_negative,0.65836667,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-17,load_unavailable,suyeong,winter,normal,high_cloud_or_rainfall_hard_negative,0.65836667,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-17,weather_unavailable,suyeong,winter,normal,high_cloud_or_rainfall_hard_negative,0.65836667,anomaly,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-17,phase_unavailable,suyeong,winter,normal,high_cloud_or_rainfall_hard_negative,0.72560000,anomaly,false,0.06723333,false,0.33333333,none
V08-CON-SUY-WIN-18,as_observed,suyeong,winter,normal,high_cloud_or_rainfall_hard_negative,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-18,load_unavailable,suyeong,winter,normal,high_cloud_or_rainfall_hard_negative,1.00000000,anomaly,false,0.00000000,false,0.66666667,none
V08-CON-SUY-WIN-18,weather_unavailable,suyeong,winter,normal,high_cloud_or_rainfall_hard_negative,1.00000000,anomaly,false,0.00000000,false,0.33333333,none
V08-CON-SUY-WIN-18,phase_unavailable,suyeong,winter,normal,high_cloud_or_rainfall_hard_negative,1.00000000,anomaly,false,0.00000000,false,0.33333333,none
