effect_family,architecture,effect_level,cases,abnormal_cases,normal_cases,hard_negative_normal_cases,true_positives,false_positives,hard_negative_false_positives,recall,recall_wilson_95,normal_fpr,normal_fpr_wilson_95,hard_negative_fpr,hard_negative_fpr_wilson_95,average_precision,abstentions,claim_boundary
region,H1,chungju,192,96,96,88,88,0,0,0.91666667,"[0.84410097, 0.95716938]",0.00000000,"[0.00000000, 0.03847559]",0.00000000,"[0.00000000, 0.04182707]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
region,H1,gangneung,192,96,96,88,88,0,0,0.91666667,"[0.84410097, 0.95716938]",0.00000000,"[0.00000000, 0.03847559]",0.00000000,"[0.00000000, 0.04182707]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
region,H1,suyeong,192,96,96,88,88,0,0,0.91666667,"[0.84410097, 0.95716938]",0.00000000,"[0.00000000, 0.03847559]",0.00000000,"[0.00000000, 0.04182707]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
region,H2,chungju,192,96,96,88,88,0,0,0.91666667,"[0.84410097, 0.95716938]",0.00000000,"[0.00000000, 0.03847559]",0.00000000,"[0.00000000, 0.04182707]",1.00000000,8,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
region,H2,gangneung,192,96,96,88,88,0,0,0.91666667,"[0.84410097, 0.95716938]",0.00000000,"[0.00000000, 0.03847559]",0.00000000,"[0.00000000, 0.04182707]",1.00000000,8,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
region,H2,suyeong,192,96,96,88,88,0,0,0.91666667,"[0.84410097, 0.95716938]",0.00000000,"[0.00000000, 0.03847559]",0.00000000,"[0.00000000, 0.04182707]",1.00000000,8,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
region,H3,chungju,192,96,96,88,88,0,0,0.91666667,"[0.84410097, 0.95716938]",0.00000000,"[0.00000000, 0.03847559]",0.00000000,"[0.00000000, 0.04182707]",1.00000000,8,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
region,H3,gangneung,192,96,96,88,88,0,0,0.91666667,"[0.84410097, 0.95716938]",0.00000000,"[0.00000000, 0.03847559]",0.00000000,"[0.00000000, 0.04182707]",1.00000000,8,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
region,H3,suyeong,192,96,96,88,88,0,0,0.91666667,"[0.84410097, 0.95716938]",0.00000000,"[0.00000000, 0.03847559]",0.00000000,"[0.00000000, 0.04182707]",1.00000000,8,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
region,threshold_only,chungju,192,96,96,88,96,32,32,1.00000000,"[0.96152441, 1.00000000]",0.33333333,"[0.24705692, 0.43243494]",0.36363636,"[0.27079300, 0.46788711]",0.99336305,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
