architecture,hard_negative_family,cases,abnormal_cases,normal_cases,hard_negative_normal_cases,true_positives,false_positives,hard_negative_false_positives,recall,recall_wilson_95,normal_fpr,normal_fpr_wilson_95,hard_negative_fpr,hard_negative_fpr_wilson_95,average_precision,abstentions,claim_boundary
H1,allowed_partial_operation,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,delayed_control_normal,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,missing_feature_normal,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,near_threshold_load_variation,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,phase_noise_normal,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,short_transient_spike,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,sunrise_boundary_20m,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,sunrise_grace_operation,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,sunset_boundary_20m,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,sunset_grace_operation,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,weather_context_normal,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
