architecture,feature_availability,cases,abnormal_cases,normal_cases,hard_negative_normal_cases,true_positives,false_positives,hard_negative_false_positives,recall,recall_wilson_95,normal_fpr,normal_fpr_wilson_95,hard_negative_fpr,hard_negative_fpr_wilson_95,average_precision,abstentions,claim_boundary
H1,both_missing,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,full,504,240,264,240,216,0,0,0.90000000,"[0.85552039, 0.93187647]",0.00000000,"[0.00000000, 0.01434229]",0.00000000,"[0.00000000, 0.01575392]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,load_missing,24,24,0,0,24,0,0,1.00000000,"[0.86202380, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,phase_missing,24,24,0,0,24,0,0,1.00000000,"[0.86202380, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,both_missing,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,24,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,full,504,240,264,240,216,0,0,0.90000000,"[0.85552039, 0.93187647]",0.00000000,"[0.00000000, 0.01434229]",0.00000000,"[0.00000000, 0.01575392]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,load_missing,24,24,0,0,24,0,0,1.00000000,"[0.86202380, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,phase_missing,24,24,0,0,24,0,0,1.00000000,"[0.86202380, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,both_missing,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,24,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,full,504,240,264,240,216,0,0,0.90000000,"[0.85552039, 0.93187647]",0.00000000,"[0.00000000, 0.01434229]",0.00000000,"[0.00000000, 0.01575392]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,load_missing,24,24,0,0,24,0,0,1.00000000,"[0.86202380, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,phase_missing,24,24,0,0,24,0,0,1.00000000,"[0.86202380, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,both_missing,24,0,24,24,0,24,24,,,1.00000000,"[0.86202380, 1.00000000]",1.00000000,"[0.86202380, 1.00000000]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,full,504,240,264,240,240,72,72,1.00000000,"[0.98424608, 1.00000000]",0.27272727,"[0.22255116, 0.32942260]",0.30000000,"[0.24554653, 0.36075504]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,load_missing,24,24,0,0,24,0,0,1.00000000,"[0.86202380, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,phase_missing,24,24,0,0,24,0,0,1.00000000,"[0.86202380, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
