architecture,solar_margin_bin_minutes,solar_side,cases,abnormal_cases,normal_cases,hard_negative_normal_cases,true_positives,false_positives,hard_negative_false_positives,recall,recall_wilson_95,normal_fpr,normal_fpr_wilson_95,hard_negative_fpr,hard_negative_fpr_wilson_95,average_precision,abstentions,claim_boundary
H1,0-15,sunrise,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,0-15,sunset,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,15-30,sunrise,48,0,48,48,0,0,0,,,0.00000000,"[0.00000000, 0.07410013]",0.00000000,"[0.00000000, 0.07410013]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,15-30,sunset,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,30-60,sunrise,48,24,24,24,0,0,0,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,60-120,sunrise,48,48,0,0,48,0,0,1.00000000,"[0.92589987, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,60-120,sunset,48,48,0,0,48,0,0,1.00000000,"[0.92589987, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,>120,none,120,0,120,96,0,0,0,,,0.00000000,"[0.00000000, 0.03101917]",0.00000000,"[0.00000000, 0.03847559]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H1,>120,sunrise,192,168,24,24,168,0,0,1.00000000,"[0.97764533, 1.00000000]",0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,0-15,sunrise,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,0-15,sunset,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,15-30,sunrise,48,0,48,48,0,0,0,,,0.00000000,"[0.00000000, 0.07410013]",0.00000000,"[0.00000000, 0.07410013]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,15-30,sunset,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,30-60,sunrise,48,24,24,24,0,0,0,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,60-120,sunrise,48,48,0,0,48,0,0,1.00000000,"[0.92589987, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,60-120,sunset,48,48,0,0,48,0,0,1.00000000,"[0.92589987, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,>120,none,120,0,120,96,0,0,0,,,0.00000000,"[0.00000000, 0.03101917]",0.00000000,"[0.00000000, 0.03847559]",,24,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H2,>120,sunrise,192,168,24,24,168,0,0,1.00000000,"[0.97764533, 1.00000000]",0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,0-15,sunrise,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,0-15,sunset,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,15-30,sunrise,48,0,48,48,0,0,0,,,0.00000000,"[0.00000000, 0.07410013]",0.00000000,"[0.00000000, 0.07410013]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,15-30,sunset,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,30-60,sunrise,48,24,24,24,0,0,0,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,60-120,sunrise,48,48,0,0,48,0,0,1.00000000,"[0.92589987, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,60-120,sunset,48,48,0,0,48,0,0,1.00000000,"[0.92589987, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,>120,none,120,0,120,96,0,0,0,,,0.00000000,"[0.00000000, 0.03101917]",0.00000000,"[0.00000000, 0.03847559]",,24,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
H3,>120,sunrise,192,168,24,24,168,0,0,1.00000000,"[0.97764533, 1.00000000]",0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,0-15,sunrise,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,0-15,sunset,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,15-30,sunrise,48,0,48,48,0,0,0,,,0.00000000,"[0.00000000, 0.07410013]",0.00000000,"[0.00000000, 0.07410013]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,15-30,sunset,24,0,24,24,0,0,0,,,0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,30-60,sunrise,48,24,24,24,24,24,24,1.00000000,"[0.86202380, 1.00000000]",1.00000000,"[0.86202380, 1.00000000]",1.00000000,"[0.86202380, 1.00000000]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,60-120,sunrise,48,48,0,0,48,0,0,1.00000000,"[0.92589987, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,60-120,sunset,48,48,0,0,48,0,0,1.00000000,"[0.92589987, 1.00000000]",,,,,1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,>120,none,120,0,120,96,0,72,72,,,0.60000000,"[0.51056025, 0.68323592]",0.75000000,"[0.65490189, 0.82586032]",,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
threshold_only,>120,sunrise,192,168,24,24,168,0,0,1.00000000,"[0.97764533, 1.00000000]",0.00000000,"[0.00000000, 0.13797620]",0.00000000,"[0.00000000, 0.13797620]",1.00000000,0,Controlled generated episode-separated holdout only; not field AMI accuracy or fault truth.
