source_record_id,source_path,target_meter_or_cabinet,join_method,join_key,time_alignment,mapping_confidence,usable_for_gold,usable_for_silver
SRC-0001,lightguard_app/assets/data/ami_event_windows/B-L-13_2026-06-23.csv,B-L-13,exact_target_meter_value,meter_id,available,PARTIAL,False,False
SRC-0002,lightguard_app/assets/data/ami_event_windows/B-L-14_2026-05-19.csv,B-L-14,exact_target_meter_value,meter_id,available,PARTIAL,False,False
SRC-0003,lightguard_app/assets/data/ami_event_windows/B-L-14_2026-05-29.csv,B-L-14,exact_target_meter_value,meter_id,available,PARTIAL,False,False
SRC-0004,lightguard_app/assets/data/ami_event_windows/B-L-35_2026-05-11.csv,B-L-35,exact_target_meter_value,meter_id,available,PARTIAL,False,False
SRC-0005,lightguard_app/assets/data/ami_event_windows/B-L-9_2026-05-20.csv,B-L-9,exact_target_meter_value,meter_id,available,PARTIAL,False,False
SRC-0006,lightguard_app/assets/data/ami_event_windows/B-L-9_2026-05-21.csv,B-L-9,exact_target_meter_value,meter_id,available,PARTIAL,False,False
SRC-0007,lightguard_app/assets/data/ami_event_windows/replay_manifest.json,B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,$.events[].meter_id,available,PARTIAL,False,False
SRC-0008,lightguard_app/assets/data/ami_events.csv,B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,meter_id,unavailable,PARTIAL,False,False
SRC-0009,lightguard_app/assets/data/chungju_v02_seed.json,,field_name_only,$.objects[].ami.ami_state;$.objects[].ami.has_real_ami;$.objects[].ami.virtual_link_mode;$.objects[].asset_info.cabinet_name;$.objects[].asset_info.cabinet_uid;$.objects[].asset_info.fixture_count;$.objects[].asset_info.metadata.controller_link_status;$.objects[].cabinet_uid;$.objects[].expected_load.fixture_rows;$.target_mode.target_cabinet_ids[],available,UNAVAILABLE,False,False
SRC-0011,lightguard_app/assets/data/context/controlled_validation_frozen_2026.json,,field_name_only,$.cases[].cabinet_uid;$.cases[].fixture_count,available,UNAVAILABLE,False,False
SRC-0015,lightguard_app/assets/data/context/v04_validation_summary.json,,field_name_only,$.actual_ami_replay.interval_consistent_count;$.actual_ami_replay.peak_consistent_count;$.actual_ami_replay.phase_consistent_count;$.actual_ami_replay.window_count,available,UNAVAILABLE,False,False
SRC-0016,lightguard_app/assets/data/context/v05_validation_summary.json,,field_name_only,$.actual_ami_peak.adjudicated_metric_consistent;$.actual_ami_peak.adjudicated_metric_definition;$.actual_ami_peak.adjudicated_metric_total;$.actual_ami_peak.legacy_metric_consistent;$.actual_ami_peak.legacy_metric_definition;$.actual_ami_peak.legacy_metric_total;$.actual_ami_peak.primary_cause;$.causal_replay.meter_count;$.sensitivity.most_sensitive_parameter,available,UNAVAILABLE,False,False
SRC-0017,lightguard_app/assets/data/context/v06_evidence_summary.json,,field_name_only,$.candidate_density.evaluable_meter_days;$.candidate_density.meter_count,available,UNAVAILABLE,False,False
SRC-0018,lightguard_app/assets/data/context/v07_regional_seasonal_summary.json,,field_name_only,$.external_ami_validation.reason;$.external_ami_validation.status,unavailable,UNAVAILABLE,False,False
SRC-0019,lightguard_app/assets/data/context/v08_detector_summary.json,,field_name_only,$.actual_external_regional_ami;$.chungju.fixture_count_stratum,available,UNAVAILABLE,False,False
SRC-0020,lightguard_app/assets/data/context/v09_specificity_summary.json,,field_name_only,$.actual_ami_is_truth,available,UNAVAILABLE,False,False
SRC-0021,lightguard_app/assets/data/context/v10_real_background_summary.json,,field_name_only,$.actual_ami_is_truth;$.canonical_actions.AMI-EVT-237615b73a;$.canonical_actions.AMI-EVT-4ada00d8f3;$.canonical_actions.AMI-EVT-d406cc5296;$.canonical_actions.AMI-EVT-d706634ed1;$.canonical_actions.AMI-EVT-f394b2a542;$.canonical_actions.AMI-EVT-fda2dd8737;$.meters;$.shadow_evaluable_meter_days;$.shadow_meter_days;$.worst_meter_irr,unavailable,UNAVAILABLE,False,False
