endpoint,variant,comparison,assigned_pairs,valid_pairs,excluded_or_noncomparable_pairs,coverage,n11,n10,n01,n00,paired_rd_full_minus_comparator,p_exact,p_holm,holm_reject,ci95_low,ci95_high,cluster_support,analysis_status,inference_family
R,A1,A0_vs_A1,36,36,0,1.00000000,9,0,0,27,0.00000000,1.00000000,1.00000000,0,0.00000000,0.00000000,OK,EVALUABLE,R
R,A2,A0_vs_A2,36,24,12,0.66666667,7,0,0,17,0.00000000,1.00000000,1.00000000,0,,,INSUFFICIENT_CLUSTER_SUPPORT,NOT_EVALUABLE_INCOMPLETE_COVERAGE,R
R,A3,A0_vs_A3,36,36,0,1.00000000,9,0,0,27,0.00000000,1.00000000,1.00000000,0,0.00000000,0.00000000,OK,EVALUABLE,R
R,A4,A0_vs_A4,36,36,0,1.00000000,9,0,0,27,0.00000000,1.00000000,1.00000000,0,0.00000000,0.00000000,OK,EVALUABLE,R
R,A5,A0_vs_A5,36,36,0,1.00000000,1,8,0,27,0.22222222,0.00781250,0.03906250,1,0.06060606,0.40909091,OK,EVALUABLE,R
R,Z1,A0_vs_Z1,36,36,0,1.00000000,8,1,0,27,0.02777778,1.00000000,,,0.00000000,0.11111111,OK,EVALUABLE,SECONDARY_UNADJUSTED
B,A1,A0_vs_A1,35,35,0,1.00000000,21,0,0,14,0.00000000,1.00000000,1.00000000,0,0.00000000,0.00000000,OK,EVALUABLE,B
B,A2,A0_vs_A2,35,14,21,0.40000000,9,0,0,5,0.00000000,1.00000000,1.00000000,0,,,INSUFFICIENT_CLUSTER_SUPPORT,NOT_EVALUABLE_INCOMPLETE_COVERAGE,B
B,A3,A0_vs_A3,35,35,0,1.00000000,21,0,0,14,0.00000000,1.00000000,1.00000000,0,0.00000000,0.00000000,OK,EVALUABLE,B
B,A4,A0_vs_A4,35,35,0,1.00000000,21,0,0,14,0.00000000,1.00000000,1.00000000,0,0.00000000,0.00000000,OK,EVALUABLE,B
B,A5,A0_vs_A5,35,35,0,1.00000000,0,21,0,14,0.60000000,0.00000095,0.00000475,1,0.40000000,0.80645161,OK,EVALUABLE,B
B,Z1,A0_vs_Z1,35,35,0,1.00000000,21,0,1,13,-0.02857143,1.00000000,,,-0.13333333,0.00000000,OK,EVALUABLE,SECONDARY_UNADJUSTED
