meter_id,endpoint,variant,valid_pairs,full_event_rate,comparator_event_rate,paired_rd_full_minus_comparator,n10,n01,stability_status
B-L-13,R,A1,7,0.00000000,0.00000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-14,R,A1,12,0.33333333,0.33333333,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-35,R,A1,5,0.40000000,0.40000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-9,R,A1,12,0.25000000,0.25000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-14,R,A2,12,0.33333333,0.33333333,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-9,R,A2,12,0.25000000,0.25000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-13,R,A3,7,0.00000000,0.00000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-14,R,A3,12,0.33333333,0.33333333,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-35,R,A3,5,0.40000000,0.40000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-9,R,A3,12,0.25000000,0.25000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-13,R,A4,7,0.00000000,0.00000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-14,R,A4,12,0.33333333,0.33333333,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-35,R,A4,5,0.40000000,0.40000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-9,R,A4,12,0.25000000,0.25000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-13,R,A5,7,0.00000000,0.00000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-14,R,A5,12,0.33333333,0.08333333,0.25000000,3,0,ADEQUATE_FOR_DIRECTION
B-L-35,R,A5,5,0.40000000,0.00000000,0.40000000,2,0,ADEQUATE_FOR_DIRECTION
B-L-9,R,A5,12,0.25000000,0.00000000,0.25000000,3,0,ADEQUATE_FOR_DIRECTION
B-L-13,R,Z1,7,0.00000000,0.00000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-14,R,Z1,12,0.33333333,0.25000000,0.08333333,1,0,ADEQUATE_FOR_DIRECTION
B-L-35,R,Z1,5,0.40000000,0.40000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-9,R,Z1,12,0.25000000,0.25000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-13,B,A1,13,0.53846154,0.53846154,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-14,B,A1,7,0.85714286,0.85714286,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-35,B,A1,8,0.62500000,0.62500000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-9,B,A1,7,0.42857143,0.42857143,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-14,B,A2,7,0.85714286,0.85714286,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-9,B,A2,7,0.42857143,0.42857143,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-13,B,A3,13,0.53846154,0.53846154,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-14,B,A3,7,0.85714286,0.85714286,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-35,B,A3,8,0.62500000,0.62500000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-9,B,A3,7,0.42857143,0.42857143,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-13,B,A4,13,0.53846154,0.53846154,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-14,B,A4,7,0.85714286,0.85714286,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-35,B,A4,8,0.62500000,0.62500000,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-9,B,A4,7,0.42857143,0.42857143,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-13,B,A5,13,0.53846154,0.00000000,0.53846154,7,0,ADEQUATE_FOR_DIRECTION
B-L-14,B,A5,7,0.85714286,0.00000000,0.85714286,6,0,ADEQUATE_FOR_DIRECTION
B-L-35,B,A5,8,0.62500000,0.00000000,0.62500000,5,0,ADEQUATE_FOR_DIRECTION
B-L-9,B,A5,7,0.42857143,0.00000000,0.42857143,3,0,ADEQUATE_FOR_DIRECTION
B-L-13,B,Z1,13,0.53846154,0.53846154,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-14,B,Z1,7,0.85714286,0.85714286,0.00000000,0,0,INSUFFICIENT_STRATUM
B-L-35,B,Z1,8,0.62500000,0.75000000,-0.12500000,0,1,ADEQUATE_FOR_DIRECTION
B-L-9,B,Z1,7,0.42857143,0.42857143,0.00000000,0,0,INSUFFICIENT_STRATUM
