operator,endpoint,variant,valid_pairs,full_event_rate,comparator_event_rate,paired_rd_full_minus_comparator,n10,n01,stability_status
OP1,R,A1,8,0.37500000,0.37500000,0.00000000,0,0,INSUFFICIENT_STRATUM
OP2,R,A1,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP3,R,A1,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP4,R,A1,7,0.42857143,0.42857143,0.00000000,0,0,INSUFFICIENT_STRATUM
OP5,R,A1,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP1,R,A2,4,0.50000000,0.50000000,0.00000000,0,0,INSUFFICIENT_STRATUM
OP2,R,A2,5,0.20000000,0.20000000,0.00000000,0,0,INSUFFICIENT_STRATUM
OP3,R,A2,4,0.25000000,0.25000000,0.00000000,0,0,INSUFFICIENT_STRATUM
OP4,R,A2,4,0.50000000,0.50000000,0.00000000,0,0,INSUFFICIENT_STRATUM
OP5,R,A2,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP1,R,A3,8,0.37500000,0.37500000,0.00000000,0,0,INSUFFICIENT_STRATUM
OP2,R,A3,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP3,R,A3,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP4,R,A3,7,0.42857143,0.42857143,0.00000000,0,0,INSUFFICIENT_STRATUM
OP5,R,A3,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP1,R,A4,8,0.37500000,0.37500000,0.00000000,0,0,INSUFFICIENT_STRATUM
OP2,R,A4,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP3,R,A4,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP4,R,A4,7,0.42857143,0.42857143,0.00000000,0,0,INSUFFICIENT_STRATUM
OP5,R,A4,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP1,R,A5,8,0.37500000,0.00000000,0.37500000,3,0,ADEQUATE_FOR_DIRECTION
OP2,R,A5,7,0.14285714,0.00000000,0.14285714,1,0,ADEQUATE_FOR_DIRECTION
OP3,R,A5,7,0.14285714,0.00000000,0.14285714,1,0,ADEQUATE_FOR_DIRECTION
OP4,R,A5,7,0.42857143,0.00000000,0.42857143,3,0,ADEQUATE_FOR_DIRECTION
OP5,R,A5,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP1,R,Z1,8,0.37500000,0.37500000,0.00000000,0,0,INSUFFICIENT_STRATUM
OP2,R,Z1,7,0.14285714,0.00000000,0.14285714,1,0,ADEQUATE_FOR_DIRECTION
OP3,R,Z1,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
OP4,R,Z1,7,0.42857143,0.42857143,0.00000000,0,0,INSUFFICIENT_STRATUM
OP5,R,Z1,7,0.14285714,0.14285714,0.00000000,0,0,INSUFFICIENT_STRATUM
B1,B,A1,8,0.75000000,0.75000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B2,B,A1,8,0.62500000,0.62500000,0.00000000,0,0,INSUFFICIENT_STRATUM
B3,B,A1,8,0.62500000,0.62500000,0.00000000,0,0,INSUFFICIENT_STRATUM
B4,B,A1,11,0.45454545,0.45454545,0.00000000,0,0,INSUFFICIENT_STRATUM
B1,B,A2,2,1.00000000,1.00000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B2,B,A2,4,0.75000000,0.75000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B3,B,A2,3,0.33333333,0.33333333,0.00000000,0,0,INSUFFICIENT_STRATUM
B4,B,A2,5,0.60000000,0.60000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B1,B,A3,8,0.75000000,0.75000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B2,B,A3,8,0.62500000,0.62500000,0.00000000,0,0,INSUFFICIENT_STRATUM
B3,B,A3,8,0.62500000,0.62500000,0.00000000,0,0,INSUFFICIENT_STRATUM
B4,B,A3,11,0.45454545,0.45454545,0.00000000,0,0,INSUFFICIENT_STRATUM
B1,B,A4,8,0.75000000,0.75000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B2,B,A4,8,0.62500000,0.62500000,0.00000000,0,0,INSUFFICIENT_STRATUM
B3,B,A4,8,0.62500000,0.62500000,0.00000000,0,0,INSUFFICIENT_STRATUM
B4,B,A4,11,0.45454545,0.45454545,0.00000000,0,0,INSUFFICIENT_STRATUM
B1,B,A5,8,0.75000000,0.00000000,0.75000000,6,0,ADEQUATE_FOR_DIRECTION
B2,B,A5,8,0.62500000,0.00000000,0.62500000,5,0,ADEQUATE_FOR_DIRECTION
B3,B,A5,8,0.62500000,0.00000000,0.62500000,5,0,ADEQUATE_FOR_DIRECTION
B4,B,A5,11,0.45454545,0.00000000,0.45454545,5,0,ADEQUATE_FOR_DIRECTION
B1,B,Z1,8,0.75000000,0.75000000,0.00000000,0,0,INSUFFICIENT_STRATUM
B2,B,Z1,8,0.62500000,0.62500000,0.00000000,0,0,INSUFFICIENT_STRATUM
B3,B,Z1,8,0.62500000,0.62500000,0.00000000,0,0,INSUFFICIENT_STRATUM
B4,B,Z1,11,0.45454545,0.54545455,-0.09090909,0,1,ADEQUATE_FOR_DIRECTION
