dimension,group,count,mean_days,median_days,p75_days,p90_days,p95_days,same_day_rate,within_1d_rate,within_3d_rate,within_7d_rate
overall,ALL,101839,2.6836182601950136,0,1.0,8.0,16.0,0.7230235960683039,0.7791710444917959,0.8253714195936723,0.8922809532693762
receipt_channel,견문정보,61,0.6229508196721312,0,1.0,1.0,3.0,0.7377049180327869,0.9016393442622951,0.9508196721311475,0.9836065573770492
receipt_channel,민원신고,5314,0.3280015054572826,0.0,0.0,1.0,2.0,0.798268724124953,0.9458035378246142,0.9841926985321792,0.9984945427173504
receipt_channel,시정견문,598,0.6889632107023411,0.0,0.0,3.0,5.0,0.7792642140468228,0.8662207357859532,0.9163879598662207,0.9899665551839465
receipt_channel,안전공사,94,1.925531914893617,0.0,4.0,7.0,7.0,0.574468085106383,0.6382978723404256,0.723404255319149,0.9787234042553191
receipt_channel,일상점검,93643,2.70412097006717,0,1.0,8.0,16.0,0.7279561739799024,0.7778691413132856,0.8232542742116336,0.8915989449291458
receipt_channel,직원신고,2129,8.314232033818694,4,15.0,24.0,29.0,0.3085955847815876,0.39877876937529355,0.4974166275246595,0.6232973226867073
district,TEST,15,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
district,기타,395,0.005063291139240506,0,0.0,0.0,0.0,0.9949367088607595,1.0,1.0,1.0
district,남구,4155,3.185800240673887,0,2.0,11.0,19.0,0.6926594464500602,0.7432009626955476,0.787725631768953,0.8608904933814681
district,달서구,18186,4.894974155944133,0.0,5.0,19.0,28.0,0.6489057516771143,0.6937204442978115,0.7303970086880017,0.8014956559991202
district,달성군,17958,2.223799977725805,0.0,0.0,6.0,12.0,0.7961354271076957,0.8359505512863348,0.8711994654193117,0.9192560418754873
district,동구,17635,2.6494471222001703,0,1.0,7.0,15.0,0.7237312163311597,0.7853700028352708,0.8332860788205274,0.9000283527076836
district,북구,16883,1.5333767695314813,0,0.0,5.0,9.0,0.7793638571343956,0.8344488538766807,0.8731268139548658,0.9334241544749156
district,서구,5191,2.3993450202273165,0,1.0,8.0,14.0,0.7339626276247351,0.7927181660566365,0.8287420535542285,0.8969370063571566
district,수성구,16063,2.244972919130922,0,2.0,7.0,13.0,0.651061445558115,0.7389030691651621,0.8189628338417481,0.9107887692211916
district,중구,5358,1.8618887644643525,0.0,0.0,7.0,12.0,0.7575587905935051,0.8029115341545353,0.8493840985442329,0.9109742441209406
year,2020,17762,1.7477761513343093,0.0,2.0,7.0,9.0,0.6734038959576625,0.7496903501857899,0.8186578088053147,0.9240513455691927
year,2021,17592,1.9298544793087766,0.0,1.0,7.0,12.0,0.7148703956343793,0.7878581173260573,0.8408367439745339,0.9129149613460664
year,2022,19129,2.3913952637356894,0,1.0,8.0,15.0,0.7164514611323122,0.7770400961890324,0.8259710387369962,0.8884939097705055
year,2023,18782,3.2612075391332125,0.0,1.0,13.0,21.0,0.7032264934511766,0.7566819295069748,0.8002342668512405,0.8611436481737834
year,2024,18093,3.5629801580721825,0,0.0,12.0,23.0,0.7508428674072846,0.784557563698668,0.8136848504946664,0.86580445476151
year,2025,10481,3.5150271920618263,0,0.0,6.0,20.0,0.8202461597175842,0.8494418471519893,0.8749165155996566,0.9122221162102853
month,2020-01,1425,2.3108771929824563,0,4.0,7.0,9.799999999999955,0.527719298245614,0.6266666666666667,0.7108771929824561,0.9263157894736842
month,2020-02,1572,1.498091603053435,0.0,2.0,5.0,7.0,0.5992366412213741,0.7016539440203562,0.8365139949109415,0.9618320610687023
month,2020-03,1846,1.0265438786565546,0.0,1.0,4.0,6.0,0.7248104008667389,0.8206933911159263,0.8916576381365113,0.9685807150595883
month,2020-04,1548,1.87015503875969,0.0,2.0,7.0,10.0,0.686046511627907,0.7448320413436692,0.7919896640826873,0.9031007751937985
month,2020-05,1600,2.8125,0.0,5.0,9.0,12.0,0.58625,0.62375,0.685625,0.8475
month,2020-06,1616,1.3898514851485149,0.0,1.0,6.0,7.0,0.6800742574257426,0.7611386138613861,0.8323019801980198,0.9548267326732673
month,2020-07,1516,1.9313984168865435,0.0,0.0,7.0,13.25,0.7552770448548812,0.8007915567282322,0.8469656992084432,0.9155672823218998
