dimension,category,count,share
overview,inspection_rows,105449,1.0
overview,field_action_not_이상없음,9879,0.09368509895779002
overview,review_action_not_이상없음,1987,0.018843232273421273
field_action,이상없음,95570,0.90631490104221
field_action,점멸기,2701,0.025614277992204764
field_action,분전함,2160,0.020483835787916432
field_action,가로등주,1474,0.013978321273791122
field_action,차단기,965,0.009151343303397851
field_action,현수막,665,0.00630636611063168
field_action,불법부착물,397,0.0037648531517605666
field_action,기초대,324,0.003072575368187465
field_action,등기구,288,0.0027311781050555245
field_action,선로점검,192,0.0018207854033703496
field_action,소등,133,0.001261273222126336
field_action,기타,127,0.0012043736782710126
field_action,글러브,122,0.0011569573917249096
field_action,지중선로,85,0.0008060768712837486
field_action,절연저항불량,79,0.0007491773274284252
field_action,누전기차단기불량,78,0.0007396940701192045
field_action,가공선작업,44,0.00041726332160570514
field_action,구간소등,22,0.00020863166080285257
field_action,접지저항불량,21,0.000199148403493632
field_action,분점함,1,9.48325730922057e-06
field_action,격등작업,1,9.48325730922057e-06
review_action,이상없음,103462,0.9811567677265787
review_action,분전함,679,0.0064391317129607675
review_action,가로등주,449,0.004257982531840036
review_action,접지저항불량,403,0.0038217526956158903
review_action,절연저항불량,134,0.0012707564794355566
review_action,점멸기,80,0.0007586605847376457
review_action,기타,71,0.0006733112689546605
review_action,지중선로,67,0.0006353782397177783
review_action,기초대,32,0.00030346423389505825
review_action,등기구,29,0.00027501446196739654
review_action,차단기,13,0.00012328234501986742
review_action,글러브,9,8.534931578298514e-05
review_action,선로점검,8,7.586605847376456e-05
review_action,가공선작업,7,6.6382801164544e-05
review_action,소등,4,3.793302923688228e-05
review_action,불법부착물,1,9.48325730922057e-06
review_action,현수막,1,9.48325730922057e-06
