dimension,group,events,burden_events,support_status,arrival_share,top10_priority_share,group_burden_prevalence,q2_minus_fifo_restricted_delay,fifo_censored_share,q2_censored_share
district,TEST,9,8,INSUFFICIENT_SUPPORT,0.0009841443411700383,0.009836065573770493,0.8888888888888888,-0.4444444444444444,0.0,0.0
district,기타,1,0,INSUFFICIENT_SUPPORT,0.00010934937124111536,0.001092896174863388,0.0,-1,0.0,0.0
district,남구,337,60,EVALUABLE,0.03685073810825588,0.046994535519125684,0.17804154302670624,-0.29080118694362017,0.0,0.0
district,달서구,1704,450,EVALUABLE,0.18633132859486057,0.2448087431693989,0.2640845070422535,0.09272300469483563,0.0,0.0
district,달성군,1678,199,EVALUABLE,0.18348824494259158,0.08743169398907104,0.11859356376638856,0.32121573301549455,0.0,0.0
district,동구,1254,216,EVALUABLE,0.13712411153635867,0.10382513661202186,0.1722488038277512,-0.027113237639553422,0.0,0.0
district,북구,1554,194,EVALUABLE,0.16992892290869327,0.16721311475409836,0.12483912483912483,-0.2245817245817246,0.0,0.0
district,서구,565,80,EVALUABLE,0.06178239475123018,0.10601092896174863,0.1415929203539823,-0.3557522123893806,0.0,0.0
district,수성구,1470,231,EVALUABLE,0.1607435757244396,0.10382513661202186,0.15714285714285714,0.07891156462585025,0.0,0.0
district,중구,573,99,EVALUABLE,0.0626571897211591,0.12896174863387977,0.17277486910994763,-0.21989528795811517,0.0,0.0
receipt_type,민원신고,536,34,EVALUABLE,0.05861126298523783,0.048087431693989074,0.06343283582089553,0.06716417910447764,0.0,0.0
receipt_type,시정견문,34,0,INSUFFICIENT_SUPPORT,0.0037178786221979225,0.001092896174863388,0.0,-0.4117647058823529,0.0,0.0
receipt_type,안전공사,4,0,INSUFFICIENT_SUPPORT,0.00043739748496446145,0.002185792349726776,0.0,-0.5,0.0,0.0
receipt_type,일상점검,8439,1486,EVALUABLE,0.9227993439037726,0.9486338797814208,0.1760872141248963,-0.0028439388553146427,0.0,0.0
receipt_type,직원신고,132,17,INSUFFICIENT_SUPPORT,0.014434117003827228,0.0,0.12878787878787878,0.030303030303030276,0.0,0.0
