model,split,top_percent,precision,recall,enrichment
B1_REPEAT_AWARE_RULE,development,5,0.2351961229744056,0.10640180522002154,2.1274979665825158
B1_REPEAT_AWARE_RULE,development,10,0.23519612297440556,0.2127737138946033,2.1274979665825153
B1_REPEAT_AWARE_RULE,development,20,0.22415278133092117,0.40553788441375377,2.0276039436978532
B2_LOGISTIC,development,5,0.4248384377634167,0.19219524596415405,3.842932872520689
B2_LOGISTIC,development,10,0.32879022059856683,0.2974450235159527,2.974115886390646
B2_LOGISTIC,development,20,0.2445022131665847,0.44235413753654507,2.211677449264078
B1_REPEAT_AWARE_RULE,validation,5,0.22990726429675423,0.12736862442040184,2.5470659453889746
B1_REPEAT_AWARE_RULE,validation,10,0.22990726429675423,0.2547372488408037,2.5470659453889746
B1_REPEAT_AWARE_RULE,validation,20,0.19328381764021224,0.42831693989071035,2.141326987696698
B2_LOGISTIC,validation,5,0.41997593261131166,0.23266666666666666,4.652773365423185
B2_LOGISTIC,validation,10,0.309265944645006,0.3426666666666667,3.4262543120738065
B2_LOGISTIC,validation,20,0.2283393501805054,0.506,2.5296955475330924
B1_REPEAT_AWARE_RULE,confirmatory,5,0.17802385008517888,0.12279355924549988,2.451849561790604
B1_REPEAT_AWARE_RULE,confirmatory,10,0.17802385008517888,0.24531901028304018,2.451849561790604
B1_REPEAT_AWARE_RULE,confirmatory,20,0.1347122246519796,0.3710672573621547,1.8553362868107734
B2_LOGISTIC,confirmatory,5,0.29912663755458513,0.2063253012048193,4.1197486452359655
B2_LOGISTIC,confirmatory,10,0.2262295081967213,0.3117469879518072,3.115766344064784
B2_LOGISTIC,confirmatory,20,0.16457080371787863,0.45331325301204817,2.2665662650602414
