pair_group,case_id,weather_regime,official_timestamp,score_without_weather,weather_modifier,score_with_weather,rank,source
WEATHER-BASE-12,WEATHER-BASE-12-CLEAR,CLEAR,2026-05-18 13:00,0.521,-0.0,0.521,1,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-12,WEATHER-BASE-12-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.521,-0.0,0.521,2,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-12,WEATHER-BASE-12-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.521,-0.0,0.521,3,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-12,WEATHER-BASE-12-OVERCAST,OVERCAST,2026-02-02 08:00,0.521,-0.0,0.521,4,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-12,WEATHER-BASE-12-RAIN,RAIN,2026-08-17 03:00,0.521,-0.0,0.521,5,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-11,WEATHER-BASE-11-CLEAR,CLEAR,2026-05-18 13:00,0.515,-0.0,0.515,6,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-11,WEATHER-BASE-11-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.515,-0.0,0.515,7,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-11,WEATHER-BASE-11-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.515,-0.0,0.515,8,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-11,WEATHER-BASE-11-OVERCAST,OVERCAST,2026-02-02 08:00,0.515,-0.0,0.515,9,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-11,WEATHER-BASE-11-RAIN,RAIN,2026-08-17 03:00,0.515,-0.0,0.515,10,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-10,WEATHER-BASE-10-CLEAR,CLEAR,2026-05-18 13:00,0.509,-0.0,0.509,11,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-10,WEATHER-BASE-10-HIGH_HUMIDITY_OR_LOW_VISIBILITY,HIGH_HUMIDITY_OR_LOW_VISIBILITY,2026-04-09 20:00,0.509,-0.0,0.509,12,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-10,WEATHER-BASE-10-LOW_SOLAR,LOW_SOLAR,2026-03-02 08:00,0.509,-0.0,0.509,13,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-10,WEATHER-BASE-10-OVERCAST,OVERCAST,2026-02-02 08:00,0.509,-0.0,0.509,14,KMA_ASOS_HOURLY_OFFICIAL
WEATHER-BASE-10,WEATHER-BASE-10-RAIN,RAIN,2026-08-17 03:00,0.509,-0.0,0.509,15,KMA_ASOS_HOURLY_OFFICIAL
